id,idCurso,idEstudioNormalizadoBI,product_hierarchy_id
1017,812061,2195,36
1018,81322,109,78
1019,81864,322,45
1020,81865,321,45
1021,81865,321,44
1022,820203,2201,34
1023,820339,2205,172
1024,820415,2206,172
1025,820466,2208,172
1026,82637,58,85
1027,83121,207,98
1028,833036,2209,173
1029,833037,2210,173
1030,83636,208,108
1031,84046,212,123
1032,84346,291,136
1033,84414,216,108
1034,84423,270,3
1035,845420,2213,171
1036,845421,2214,109
1037,845422,2215,109
1038,84832,210,52
1039,84920,393,45
1040,850784,2220,192
1041,855347,2221,6
1042,855348,2222,6
1043,855644,2223,7
1044,856783,2225,6
1045,856784,2226,6
1046,856840,2227,6
1047,857121,2228,6
1048,857739,2229,6
1049,870695,2238,111
1050,870696,2239,111
1051,87172,151,172
1052,87173,151,172
1053,8788,196,93
1054,878977,2240,108
1055,889383,2249,186
1056,889384,2250,190
1057,890249,2252,171
1058,890256,2255,174
1059,890257,2256,175
1060,892837,2263,148
1061,893736,2289,190
1062,893744,2295,186
1063,893908,2297,186
1064,893909,2298,186
1065,893910,2299,186
1066,8973,48,61
1067,8974,198,43
1068,899635,2326,150
1069,903817,2331,150
1070,918483,2344,151
1071,97788,280,113
